	adjusted_p_values	mean_all	mean_kmeans_0	mean_kmeans_1	pvalues	ratio kmeans_0 to kmeans_1
1810058I24Rik	0.9499585119246017	1.3623531668936584	1.6819366826725002	1.6054113304870825	0.8958325717502861	1.0293716970099733
Cnppd1	0.9499585119246017	0.38299691135125036	0.182821798801333	0.1571842044698509	0.8958348112627575	1.022155154064886
Gm37137	0.95014935987348	0.15993203809777662	0.19471775183341003	0.16393525376907714	0.896098197973909	1.0264469161533274
Hspb2	0.950218676267695	0.15662949352285407	0.1701255772678589	0.15011388067705342	0.896246989537364	1.0173997522567286
Prpf38a	0.9503577690547018	0.6928971325973994	0.9641992620602349	0.8931200421472122	0.8964716197080076	1.0375460712107847
Wls	0.9503577690547018	4.580238812560311	4.4842984676217865	4.577311114354392	0.8965450431271904	0.9833230306099981
Dmxl1	0.9504351440340509	0.9708378682122837	0.9067017924169083	0.9796421965118297	0.8968701285515694	0.9631547538118536
Ift122	0.9504351440340509	0.13725150146767678	0.10391633256255385	0.08625591136052725	0.8969384897998715	1.0162580668305934
Pdhx	0.9504351440340509	0.5674767404367648	0.6922109898138011	0.7533417258476012	0.8970106069775595	0.9651347280837407
Clstn1	0.9504351440340509	1.418560154502343	1.740104191212139	1.8269458916263008	0.8970693227840479	0.9692807348483762
Cflar	0.9504351440340509	1.3382547052390845	1.9516652477195646	1.8567875314403652	0.8970766683629884	1.03321133099155
Mrps12	0.9504351440340509	0.8128648636362206	1.0156197790995432	0.9476167837271242	0.8971186611056198	1.034916003980148
Poc5	0.9504414328853095	0.18235722139634253	0.32502547904678797	0.37516514284887376	0.897274792537387	0.9635391690497523
Gm42869	0.9504414328853095	0.15362698367914812	0.15332869095008259	0.18740044252238042	0.8973164667183083	0.9713055929978268
Tsc22d4	0.9504414328853095	0.6396904964622698	0.6258575758841065	0.6735673912916758	0.897389529131688	0.9714921456669
Zfp954	0.9504414328853095	0.19610704709305746	0.29418968683910085	0.25249641188820704	0.8974600958763386	1.0332881392354962
Rpp30	0.9504414328853095	0.24540219001519914	0.288323863401298	0.33208151956175785	0.897578750949318	0.967150917178961
Gdap10	0.9504414328853095	0.3814164073451417	0.3904076964576368	0.4357170832827514	0.8976252247370871	0.9684412846007829
Tyk2	0.9504447013970718	0.18075141579442858	0.26157923359980634	0.22721846133412177	0.8977117498315421	1.0279989043094502
BC017158	0.9506307623447213	0.222108067000411	0.46247129720000973	0.4131820495841776	0.8979709422201037	1.0348782010289017
Lonp2	0.9508934143942599	0.8218775183339473	1.0798547230761908	1.1468862455806088	0.8983025223682407	0.9687773291936623
Vps9d1	0.9509315880737175	0.135212534593941	0.22216291591461	0.2576777881480288	0.8984927816949112	0.9717615492870271
Fbxl6	0.9509315880737175	0.29731179288625936	0.33769478988119117	0.38643310772461564	0.8985463488530473	0.9648462536188184
Tbl1xr1	0.9509315880737175	1.3402554352050338	1.6246796305763538	1.71406685531013	0.8985962049092443	0.9670652089653251
Gm14760	0.9509315880737175	0.23927540961903104	0.22308710975003648	0.19731106599159592	0.8986955316041858	1.0215282765611902
Aif1l	0.9509315880737175	0.1891801265937737	0.34013816958176657	0.38726218299187987	0.898823957553397	0.9660309248043639
Adam22	0.9509315880737175	0.4066600250969189	0.4369393066861187	0.3961366596321117	0.8988735024275905	1.0292253962192774
Itgb3bp	0.9509315880737175	0.45276701213874815	0.4281332585377905	0.37861704833681237	0.898922951486067	1.035917305868744
Mcam	0.9509806732638146	0.08930497453785613	0.05934220722850526	0.05258750749720514	0.8991511022188624	1.006417233420679
Nfya	0.9509806732638146	0.1486485589565107	0.1322812909625344	0.1159831993501199	0.8991680317093027	1.0146042445996548
Clk4	0.9509806732638146	2.2428665035437287	2.7059563337371726	2.8045989796828663	0.899450971510338	0.9740727875730241
Cacna1c	0.9509806732638146	0.2287919052077939	0.35759263669676483	0.3979287694841524	0.8995681090484817	0.9711457882061673
Tbc1d5	0.9509806732638146	0.28895062545583	0.33302199433099805	0.3675818898824032	0.8996232277085956	0.9747291947874676
Gm27517	0.9509806732638146	0.3358388896660104	0.3504131725311037	0.38344905247493966	0.8998419241118619	0.9761206385701476
Trpc4ap	0.9509806732638146	0.6817955037248765	0.3863147288393861	0.43410557735754757	0.8998964986629802	0.9666755019485945
Pabpn1	0.9509806732638146	0.7351470792992216	0.5711744076613282	0.6203173321521827	0.8999136258209468	0.9696708024312864
Ldb1	0.9509806732638146	0.5307322072954195	0.5654077645786979	0.518357657453314	0.8999208802332304	1.0309874994830266
